idseoul_sights,name,addres,phone,site,time,week,rest,traffic,else
1,63스퀘어,07345 서울 영등포구 63로 50 (여의도동 63한화생명빌딩) ,1833-7001,www.63art.co.kr,매일 10:00 - 19:00 아쿠아리움 / 연중무휴 (운영시간 마감 30분 전 입장마감) 매일 10:00 - 21:00 63아트 / 연중무휴 (운영시간 마감 30분 전 입장마감),월~일,연중무휴,1호선 대방역 6번 출구 셔틀버스 탑승    5호선 여의도역 5번 출구 셔틀버스 탑승    5호선 여의나루역 4번 출구 셔틀버스 탑승 ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
2,서울 한양도성,03098 서울 종로구 율곡로 283 (종로6가 서울디자인지원센터) ,02-120,http://seoulcitywall.seoul.go.kr,,,,1 4호선 동대문역 1 10번 출구,장애인 전용 주차장장애인화장실
3,경복궁,03045 서울 종로구 사직로 161 (세종로 경복궁) ,02-3700-3900,http://www.royalpalace.go.kr:8080/,1월 ~ 2월 : 09:00~17:00(입장마감 16:00)  3월 ~ 5월 : 09:00~18:00(입장마감 17:00)  6월 ~ 8월 : 09:00~18:30(입장마감 17:30)  9월 ~ 10월 : 09:00~18:00(입장마감 17:00)  11월 ~ 12월 : 09:00~17:00(입장마감 16:00) ※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있습니다.  ,,화요일,5호선 광화문역 2번 출구 도보 10분 3호선 경복궁 5번 출구 도보 5분,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
4,경희대학교 자연사박물관,02447 서울특별시 동대문구 경희대로 26 자연사박물관,02-961-0142 ,http://nhm.khu.ac.kr/,10:00~17:00,월-금,주말 -공휴일,1호선 외대앞 1번 출구 1호선 회기역 1번 출구,장애인 전용 주차장
5,광화문광장,03154 서울특별시 종로구 세종대로 172 ,02-120,http://plaza.seoul.go.kr/gwanghwamun,도심 열린 광장으로 연중 24시간 상시 개방,월~일,연중무휴,3호선 경복궁 67번 출구 외환은행 방향으로 직진  5호선 광화문 1번 2번 8번 출구  1호선 시청 3번 출구 덕수궁을 지나 코리아나 호텔 방향으로 직진  ,장애인화장실접근가능
6,국립고궁박물관,03045 서울 종로구 효자로 12 (세종로 국립고궁박물관) ,02-3701-7500,http://www.gogung.go.kr/main.do,10:00~18:00 (입장은 마감 1시간 전까지),월~일,-1월 1일 -설날 추석 당일,3호선 경복궁역 5번 출구,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
7,국립중앙박물관,04383 서울 용산구 서빙고로 137 (국립중앙박물관) ,02-2077-9000,http://www.museum.go.kr/site/main/home,월 화 목 금요일 : 10:00 ~ 18:00  수 토요일 : 10:00 ~ 21:00  일요일 공휴일 : 10:00 ~ 18:00  옥외 전시장(정원)은 오전 7시부터 관람하실 수 있습니다. ,,휴관일: 1월1일 설날(1.25.) 추석(10.1.) 상설전시실 정기휴실일 : 매년 4 11월 첫째 월요일 - 2020년 휴실일 : 4.6.(월) / 11.2.(월) ※기획전시실(특별전시 종료시 휴실) 어린이박물관 야외전시장은 정상 개관,4호선?경의중앙선 이촌역 2번 출구 ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
8,국립현대미술관 서울관,03062 서울 종로구 삼청로 30 (소격동) ,02-3701-9500,http://www.mmca.go.kr/,화요일 목요일 금요일 일요일 : 오전 10시 ~ 오후 6시 금요일 토요일 : 오전 10시 ~ 오후 9시 (야간개장 오후 6시~ 9시 무료관람)  발권시간 : 관람종료 1시간 전까지 가능,월~일,-월 -1월1일 -설날 추석,3호선 안국 1번 출구에서 북촌길 방면 또는 삼청로 민속박물관 방면  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
9,국회의사당,07233 서울특별시 영등포구 의사당대로 1  (여의도동) ,02-788-2114,http://www.assembly.go.kr,평일 09:00~18:00 (17:00까지 입장가능) 토요일 09:00~13:00(12:00까지 입장가능)  국회의사당 (10인 이상의 단체)   ※ 12시 참관에 한해 개인참관(10인 미만) 신청 가능,월~토,일요일 공휴일 근로자의 날(5.1) 국회개원기념일(5.31),9호선 국회의사당 1번 6번 출구,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
10,남산서울타워 ,04340 서울 용산구 남산공원길 105 (용산동2가 YTN서울타워) ,02-3455-9277,http://www.seoultower.co.kr/,평일 12:00 ~ 21:00 주말/ 공휴일 11:00 ~ 21:00  * 마감시간 30분 전까지 입장가능 * 레스토랑 운영시간은 매장마다 상이하므로 홈페이지 확인바람,매일,연중무휴,3호선 충무로역 2번 출구 02번 버스 탑승 후 서울타워 하차    3호선 동대입구역 6번 출구 02번 탑승 후 서울타워 하차    6호선 이태원역 4번 출구 03번 버스 탑승 후 서울타워 하차  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능
11,대한민국역사박물관,03141 서울시 종로구 세종대로 198 (세종로) ,02-3703-9200,http://www.much.go.kr,10:00~18:00,월~일,-1월 1일 -설날 -추석 휴관  ,3호선 경복궁 6번 출구 안국역 6번 출구 5호선 광화문 2번 출구 1호선 종각 1번 출구,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
12,덕수궁,04519 서울 중구 세종대로 99 ,02-771-9951,http://www.deoksugung.go.kr/,09:00 ~ 20:00 (매표 및 입장시간) 21:00 (퇴장시간),화~일,월요일,2호선 시청 12번 출구 도보 5분 1호선 시청 2번 출구 도보 5분  ,장애인 안내(휠체어 대여 및 기타)장애인화장실
13,도산공원,06020 서울 강남구 도산대로45길 20 (도산전시관) ,02-3423-6285,,24시간 개방  (도산기념관 평일 10:00 ? 18:00 토요일공휴일 11:00 - 18:00),월~일,도산기념관 1월 1일 명절 연휴 휴무 ,3호선 압구정 2번 3번 출구 도보 10분  ,장애인화장실접근가능
14,동대문역사관 상설전시실 재개관,04566 서울 중구 을지로 281 (을지로7가 2-1) 동대문역사공원 내 동대문역사관,-2273,http://www.museum.seoul.kr,10:00~18:00,행사기간 담당자 문의,월요일 1월 1일,2호선 동대문역사문화공원 1?2번 출구  지선버스 - 2012 동대문디자인플라자 하차 도보1분,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능
15,롯데월드 민속박물관,05554 서울 송파구 올림픽로 240 (잠실동 롯데월드) ,1661-2000,http://www.lotteworld.com/museum/,11:00~19:00(입장 및 매표 마감시간 18:30),월~일,,8호선 잠실 3번출구 (롯데월드 쇼핑몰 3층) 2호선 잠실 3번출구 (롯데월드 쇼핑몰 3층),엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
16,롯데월드타워,05551 서울 송파구 올림픽로 300 (신천동) ,02-3213-5000,http://www.lwt.co.kr/,매일 09:00 - 20:30 롯데면세점 연중 무휴 매일 10:00 - 23:00 롯데마트 격주 일요일 휴무 매일 10:00 - 20:00 롯데아쿠아리움 연중 무휴 매일 10:30 - 20:00 에비뉴엘 월 1회 정기 휴무 매일 10:30 - 22:00 쇼핑몰 연중 무휴 서울스카이 평일 11:00 - 21:00 (월~목요일 일요일) 주말 11:00 - 22:00 (금~토요일) 공휴일 11:00 - 22:00 (공휴일 전일 포함) ※시설별 상이 (홈페이지 참조)  ,월~일,연중무휴 ,2호선 잠실역 2번 출구 도보 5분 8호선 잠실역 11번 출구 도보 5분,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
17,명동관광정보센터,04538 서울시 중구 을지로 66 한국외환은행 ,02-778-0333,http://www.facebook.com/MyeongdongTouristInformationCenter,명동관광정보센터 / 기념품판매관 - 09:00~18:00,,일요일 명절 당일,2호선 을지로입구 5 6번 출구,접근가능
18,명동성당,04537 서울 중구 명동길 74 (명동성당) ,02-774-1784,http://www.mdsd.or.kr,,,없음,4호선 명동 5번 8번 출구 도보 10분 2호선 을지로입구 5번 출구 도보 15~20분 2호선 을지로3가 12번 출구 도보 10분,엘리베이터장애인 전용 주차장장애인화장실접근가능
19,몽촌역사관,05540 서울 송파구 올림픽로 424 (몽촌역사관) ,02-2152-5900,http://baekjemuseum.seoul.go.kr/dreamvillage/,09:00~18:00,화~일,-월 -1월 1일,5호선 올림픽공원역 3번 출구    8호선 몽촌토성역 1번 출구 ,장애인화장실접근가능
20,문화역서울 284,04509 서울 중구 통일로 1 (서울역 본옥) ,02-3407-3500,http://www.seoul284.org ,10:00~19:00 (주중?주말) ※ 관람시간 30분 전 입장 마감 ※ 매달 마지막 수요일은 '문화가 있는 날'로 21시까지 연장 운영,화~일,월요일,1호선 서울역 2번 출구    4호선 서울역 2번 출구   ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능
21,봉은사 ,06087 서울 강남구 봉은사로 531 (봉은사) ,02-3218-4800,http://www.bongeunsa.org/,법회 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음,,,7호선 청담역 2번 출구 도보 15분    2호선 삼성역 6번 출구 도보 10분   ,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실
22,삼성미술관 리움 ,04348 서울 용산구 이태원로55길 60-16 (한남동) ,02-2014-6900,http://leeum.samsungfoundation.org/html/global/main.asp,10:30 ~ 18:00 (매표마감 17:30),화~일,-월요일 -1월 1일 -설 연휴 -추석 연휴,6호선 한강진역 1번 출구 도보 10분,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
23,서울도서관 (옛 서울시청사),04524 서울특별시 중구 세종대로 110 (태평로1가) ,02-2133-0300,http://lib.seoul.go.kr/,평일 09:00~19:00 주말 09:00~17:00 ※ 자료실별 이용시간이 상이하니 자세한 운영사항은 공지사항을 참고해 주시기 바랍니다.,화~일,월요일 -법정 공휴일 및 관공서의 공휴일 -기타 관장이 필요하다고 인정하는 날,2호선 을지로입구 1번 출구 1호선 시청 5번 출구 도보 10 ~ 15분,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능
24,서울도시건축전시관,04519 서울 중구 세종대로 119 (태평로1가) ,02-736-8050 / 02-6234-8050,http://www.seoulhour.kr/main/ko/,10:00-18:00(입장마감 17:00),화 수 목 금 토 일,월요일 월요일이 공휴일인 경우 다음날 1월1일 추석 서울도시건축전시관이 지정한 날,1 2호선 시청역 3번 출구에서 도보 1분,엘리베이터장애인화장실접근가능
25,서울로7017 여행자터미널,  ,02-312-1697,,10:00~19:00,연중 무휴,설 추석 당일 휴무,지하철 1 4호선 서울역 2번출구 지하철 2호선 충정로역 5번출구,장애인화장실접근가능
26,서울시립미술관 (서소문본관),04515 서울 중구 덕수궁길 61 (서소문동 서울시립미술관) ,02-2124-8800,http://sema.seoul.go.kr ,[하절기 (3월 ~ 10월)] 화~금 10:00~20:00 (토?일?공휴일 19:00까지) [동절기 (11월 ~ 2월)] 화~금 10:00~20:00 (토?일?공휴일 18:00까지)  ※ 뮤지엄나이트 운영 (밤 10시 연장 개관).   - 서소문본관 : 매월 둘째주 수요일 마지막 주 수요일(문화가 있는 날)   - 북서울미술관 : 매월 2회(첫째 셋째주 금요일) 마지막 주 수요일(문화가 있는 날),화~일,-월요일 -1월 1일 ,1?2호선 시청역 10번 출구    5호선 서대문역 6번 출구   ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
27,서울역사박물관,03177 서울 종로구 새문안로 55 (신문로2가 서울역사박물관) ,02-724-0274,http://www.museum.seoul.kr,09:00~18:00 ,화~일,-월 -1월 1일  ,3호선 경복궁 7번출구  5호선 서대문 4번 출구 300미터  5호선 광화문 7번 8번 출구 400미터  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
28,서울역사박물관 온라인 교육 서비스,03177 서울 종로구 새문안로 55 (신문로2가) ,02-724-0274,https://museum.seoul.go.kr/www/edu/eduSch/eduSch2th.jsp?sso=ok,,,,1호선 시청역 123번 출구 / 5호선 광화문역 78번 출구 / 5호선 서대문역 4번 출구,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
29,선정릉(선릉),06153 서울특별시 강남구 선릉로100길 1 (삼성동) ,02-568-1291,http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08,06:00 ~ 21:00 (3월 ~ 10월) 06:00 ~ 17:30 (11월 ~ 1월) 06:00 ~ 18:00 (2월),화~일,월요일,2호선?분당선 선릉역 10번 출구 9호선 선정릉역 3번 출구,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
30,송파관광정보센터,05617 서울 송파구 잠실로 180 (신천동 송파관광정보센터) ,+82-2-421-0970~1,,10:00~19:00 (동절기 18:00까지),,설 추석명절 휴무,2호선 잠실역 1번 출구 8호선 잠실역 11번 출구,장애인 안내(휠체어 대여 및 기타)
31,쇳대박물관,110-810 서울특별시 종로구 이화장길 100 (동숭동) ,02-766-6494,http://ehwadong.com/,10:00 ~ 18:00 ,화~토,월요일 일요일,4호선 혜화 2번 출구 도보 20분 ,엘리베이터장애인 전용 주차장접근가능
32,스마트서울 전시관,04524 서울 중구 세종대로 110 (태평로1가 서울특별시청)  B1,02-2133-2942,http://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2410,10:00~18:00(입장마감 17:30) ※ 사전예약을 통한 전시관람,월요일 - 일요일,1월 1일 설날/추석 당일 매월 마지막 일요일,1호선 시청역 4번 출구 2호선 을지로입구역 하차 후 서울시청 방면 지하 연결출구,엘리베이터장애인 전용 주차장장애인화장실접근가능
33,스페이스 씨,135-120 서울특별시 강남구 언주로 827 스페이스씨 (신사동) ,02-547-9177,http://www.spacec.co.kr/,하절기(4-10월) 10:00 ~ 19:00  동절기(11월-3월) 10:00 ~ 18:00,월~토,-일요일 -1월1일 -구정 및 추석 연휴 -기타 기관장이 정하는 임시 휴일,3호선 압구정 3번 출구 도보 10분 ,엘리베이터장애인 전용 주차장접근가능
34,양화진외국인선교사묘원,04084 서울 마포구 양화진길 46 (합정동 양화진홍보관) ,02-332-9174,http://www.yanghwajin.net/v2/index.html,개방시간 10:00~17:00 안내시간 월~토요일 AM 10:00 11:30 / PM 02:00 03:30  (※ 신정 (1월 1일) 설 연휴 추석 연휴 성탄절에는 안내를 제공치 않습니다.) ,월~토,일요일 ※신정 (1월 1일) 설 연휴 추석 연휴 성탄절에는 안내를 제공치 않습니다.) ,6호선 합정역 7번 출구 도보 10분    2호선 합정역 7번 출구 도보 10분   ,장애인 전용 주차장장애인화장실접근가능
35,연세대학교 스팀슨관&언더우드관&아펜젤러관,03722 서울특별시 서대문구 연세로 50 (신촌동) ,1599-1885,http://www.yonsei.ac.kr/sc/intro/building2016.jsp,월~토 오전 9:00~5:00 연세대학교 캠퍼스 개방일 학교 내부 사정에 따라 이용 시간 및 이용 여하에 차이가 있음 ,,,2호선 신촌 2번 3번 출구 도보 15분,엘리베이터장애인 전용 주차장장애인화장실접근가능
36,예술가의 집 (구 서울대학교 본관),110-809 서울특별시 종로구 동숭길 3 (동숭동) ,02-760-4715,http://artisthouse.arko.or.kr,10:00~20:00 (일요일 법정 공휴일 제외),월화수목금토,,4호선 혜화 2번 출구 도보 5분  ,장애인 전용 주차장장애인화장실접근가능
37,예술의 전당 한가람미술관,06757 서울특별시 서초구 남부순환로 2406  (서초동) ,02-580-1300,http://www.sac.or.kr/SacHome/sachome/main,10:00~19:00,화~일,월요일,3호선 남부터미널 5번 출구 출구 도보  5-10분 소요  3호선 남부터미널 5번 출구 셔틀버스/4429번 버스 환승  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
38,운현궁 ,03131 서울 종로구 삼일대로 464 (운현궁) ,02-766-9090,http://unhyeongung.or.kr ,09:00 ~ 18:00 (입장마감 17:30 / 코로나19로 단축운영) ,화~일,월 (공휴일이 월요일일 경우 정상 개장),3호선 안국역 4번출구 50m 앞    5호선 종로3가역 5번출구(안국역방면) 300m 앞   ,장애인화장실접근가능
39,이음피움 봉제역사관,03097 서울 종로구 창신4가길 26 (창신동 이음피움 봉제역사관) ,02-747-6471,http://iumpium.com/,10:00~18:00 (17:30에 입장 마감),화~일,월요일 -공휴일,1호선 동대문역 1번 출구,장애인화장실
40,전쟁기념관,04353 서울 용산구 이태원로 29 (용산동1가 전쟁기념관) ,02-709-3139,http://www.warmemo.or.kr,09:30 ~ 18:00  ,화~일,월요일 (월요일이 포함된 연휴에는 연휴 마지막 다음날 휴관),6호선 삼각지역 11번 12번 출구 (도보 3분)   <br /> 4호선 삼각지역 1번 출구 (도보 5분)   <br /> 1호선 남영역 1번 출구 (도보 10분)   ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
41,조계사,03144 서울특별시 종로구 우정국로 55 (조계사) ,02-768-8600,http://www.jogyesa.kr,법회 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음,,,3호선 안국 6번 출구 도보 10분 5호선 광화문 2번 출구 도보 15분 1호선 종각 2번 출구 도보 10분,접근가능
42,종묘,03135 서울 종로구 종로 157 (훈정동 종묘공원) ,02-765-0195,http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM,2월 ~ 5월 9월 ~ 10월 09:00~18:00 (입장마감 17:00) 6월 ~ 8월 09:00~18:30 (입장마감17:30) 11월 ~ 1월 09:30~17:30 (입장마감16:30) (※ 홈페이지 참조),,화요일,5호선 종로3가역 8번 출구 도보 5분 <br/> 1호선 종로3가역 11번 출구 도보 5분 <br/> 3호선 종로3가역 8번 출구 도보 5분   ,장애인 안내(휠체어 대여 및 기타)장애인화장실접근가능
43,창경궁,03072 서울 종로구 창경궁로 185 (와룡동 창경궁) ,02-762-4868,http://cgg.cha.go.kr/agapp/public/html/HtmlPage.do?pg=/cgg/06/greeting_01.jsp&pageNo=74000000&siteCd=CGG,09:00 ~ 21:00 (입장마감 20:00),화~일,월,4호선 혜화역 4번 출구 도보 15분  ,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실
44,창경궁 대온실 ,03072 서울 종로구 창경궁로 185 (와룡동 창경궁) ,(02) 762-4868~9,http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG,,,,혜화역 4번출구 700m,장애인 안내(휠체어 대여 및 기타)
45,창덕궁,03072 서울 종로구 율곡로 99 (와룡동 창덕궁) ,02-3668-2300,http://www.cdg.go.kr,"2-5월	09:00 ~ 18:00(입장마감은 17:00) 6-8월	09:00 ~ 18:30(입장마감은 17:30) 9-10월	09:00 ~ 18:00(입장마감은 17:00) 11-1월	09:00 ~ 17:30(입장마감은 16:30)",화~일,월,5호선 종로3가역 6번 출구 도보 10분    3호선 안국역 3번 출구 도보 5분   ,장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실
46,한성백제박물관,05540 서울 송파구 위례성대로 71 (방이동 한성백제박물관) ,02-2152-5800,http://baekjemuseum.seoul.go.kr/ ,09:00~19:00  ,화~일,-월(월요일이 공휴일인 경우 개관) -1월 1일,8호선 몽촌토성 1번 출구→우측(남2문)방면으로 650m 이동 5호선(마천방면) 올림픽공원 3번 출구→남2문 방면으로 1km 이동  ,엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능
